annotation_id,annotator,email,created_at,timestamp,id,image,lead_time,text_cap_en,text_cap_native,text_culture_loc,text_image_loc,text_submitter_native_lang,updated_at
,,seacrowd.research@gmail.com,06/02/2025 00:00:00,06/02/2025 00:00:00,,https://raw.githubusercontent.com/SEACrowd/sea-vl-image-collection/refs/heads/main/data/6586_Philippines_RosalJostinJerico_037 - Jostin Jerico Rosal.jpeg,,The Lumpia Shanghai is a type of Filipino fried dish,Ang Lumpia Shanghai ay isang uri ng prinitong ulam,Philippines,"Legazpi, Philippines",Filipino (fil),
,,seacrowd.research@gmail.com,06/02/2025 00:00:00,06/02/2025 00:00:00,,https://raw.githubusercontent.com/SEACrowd/sea-vl-image-collection/refs/heads/main/data/6587_Philippines_RosalJostinJerico_038 - Jostin Jerico Rosal.jpeg,,The Sisig is a classic and popular filipino dish commonly ordered when drinking with alcohol,Ang sisig ay isang sikat na pulutan,Philippines,"Manila, Philippines",Filipino (fil),
,,seacrowd.research@gmail.com,06/02/2025 00:00:00,06/02/2025 00:00:00,,https://raw.githubusercontent.com/SEACrowd/sea-vl-image-collection/refs/heads/main/data/6588_Philippines_RosalJostinJerico_039 - Jostin Jerico Rosal.jpeg,,Halo Halo is very common especially during Summer,Halo Halo ay napapanahon sa panahon ng taginit,Philippines,"Legazpi, Philippines",Filipino (fil),
,,seacrowd.research@gmail.com,06/02/2025 00:00:00,06/02/2025 00:00:00,,https://raw.githubusercontent.com/SEACrowd/sea-vl-image-collection/refs/heads/main/data/6589_Philippines_RosalJostinJerico_040 - Jostin Jerico Rosal.jpeg,,The Siomai is a popular steamed dish in the Philippines,Ang Siomai ay isang tangyag na pagkaing pinasingaw sa tubig,Philippines,"Legazpi, Albay",Filipino (fil),
,,seacrowd.research@gmail.com,06/02/2025 00:00:00,06/02/2025 00:00:00,,https://raw.githubusercontent.com/SEACrowd/sea-vl-image-collection/refs/heads/main/data/6590_Philippines_RosalJostinJerico_036 - Jostin Jerico Rosal.jpeg,,An Image/Statue of the Virgin Mary,Imahen ng Birheng Maria,Philippines,"Legazpi, Philippines",Filipino (fil),
,,seacrowd.research@gmail.com,06/02/2025 00:00:00,06/02/2025 00:00:00,,https://raw.githubusercontent.com/SEACrowd/sea-vl-image-collection/refs/heads/main/data/6591_182 - Muhammad Rizky Syaban.jpg,,Elementary school students in scout uniforms are attending a class,Siswa-siswa Sekolah Dasar dengan seragam pramuka sedang mengikuti kelas ,Indonesia,"Pinrang, Indonesia",Indonesian (ind),
,,seacrowd.research@gmail.com,06/02/2025 00:00:00,06/02/2025 00:00:00,,https://raw.githubusercontent.com/SEACrowd/sea-vl-image-collection/refs/heads/main/data/6592_Philippines_RosalJostinJerico_035 - Jostin Jerico Rosal.jpeg,,"Adobo, Sisig, and Lechon Kawali with Rice are served in a booth","Adobo, Sisig, and Lechon Kawali",Philippines,"Seoul, South Korea",Filipino (fil),
,,seacrowd.research@gmail.com,06/02/2025 00:00:00,06/02/2025 00:00:00,,https://raw.githubusercontent.com/SEACrowd/sea-vl-image-collection/refs/heads/main/data/6593_192 - Muhammad Rizky Syaban.JPEG,,The Penthung sclupture at Sewu Temple,Arca penthung di candi sewu,Indonesia,"Sleman, Indonesia",Indonesian (ind),
,,seacrowd.research@gmail.com,06/02/2025 00:00:00,06/02/2025 00:00:00,,https://raw.githubusercontent.com/SEACrowd/sea-vl-image-collection/refs/heads/main/data/6594_198 - Muhammad Rizky Syaban.jpg,,Three women wearing hijabs posing with the Prambanan Temple in the background.,Tiga perempuan berhijab berpose dengan latar candi prambanan,Indonesia,"Sleman, Indonesia",Indonesian (ind),
,,seacrowd.research@gmail.com,06/02/2025 00:00:00,06/02/2025 00:00:00,,https://raw.githubusercontent.com/SEACrowd/sea-vl-image-collection/refs/heads/main/data/6595_200 - Muhammad Rizky Syaban.JPEG,,The Penthung sclupture at Sewu Temple,Arca penthung di candi sewu,Indonesia,"Sleman, Indonesia",Indonesian (ind),
